FID;OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;STRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;UIDENTSTLA;LICHT;OBJECTID_1
8924.0;8925.0;2;6;1;601;2016;10;15;5;3;5;3;0.0;0;1;1;0;0;0.0;0;579770.850300000050000;5927585.672299999700000;10.202366833999999;53.491183180999997;;;
8925.0;8926.0;2;2;5;216;2016;9;8;5;3;5;2;0.0;0;1;1;0;0;0.0;0;560589.628499999990000;5935493.700299999700000;9.914830053999999;53.564814912000003;;;
8927.0;8928.0;2;2;5;216;2016;5;7;4;3;4;6;0.0;0;1;0;0;0;0.0;0;559518.626300000000000;5935540.348199999900000;9.898670310000000;53.565356723999997;;;
8936.0;8937.0;2;3;6;318;2016;5;18;3;2;5;3;0.0;0;1;1;0;0;0.0;0;563039.540799999960000;5940895.772400000100000;9.952906902000001;53.613076343000003;;;
8950.0;8951.0;2;1;6;117;2016;7;6;4;3;5;2;0.0;0;1;1;0;0;0.0;0;568314.175900000030000;5933391.762699999800000;10.030982439000001;53.544975811000000;;;
8951.0;8952.0;2;1;1;102;2016;6;12;6;3;4;6;0.0;0;1;0;0;0;0.0;0;565409.232399999980000;5933645.240100000100000;9.987201991999999;53.547623739000002;;;
8952.0;8953.0;2;1;6;117;2016;9;8;3;3;3;2;0.0;0;1;1;0;0;0.0;0;568331.156700000050000;5933356.539900000200000;10.031230968999999;53.544657049999998;;;
8953.0;8954.0;2;3;4;316;2016;5;9;3;3;3;6;0.0;0;1;1;0;0;0.0;0;564094.333199999990000;5937657.491000000400000;9.968182963000000;53.583845142999998;;;
8983.0;8984.0;2;1;14;132;2016;9;6;4;3;4;2;0.0;0;1;1;0;0;0.0;0;568494.140999999950000;5932986.794300000200000;10.033609275000000;53.541312861000002;;;
8984.0;8985.0;2;3;9;321;2016;9;17;1;3;3;3;2.0;0;1;1;0;0;0.0;0;561531.707199999950000;5938485.286799999900000;9.929641959000000;53.591591790000003;;;
8994.0;8995.0;2;2;5;216;2016;11;14;6;3;5;2;0.0;1;1;1;0;0;0.0;0;560015.672999999950000;5935585.470499999800000;9.906182848000000;53.565705647999998;;;
8995.0;8996.0;2;6;2;602;2016;9;13;2;3;2;2;0.0;0;1;1;0;0;0.0;0;580661.138500000000000;5927039.735799999900000;10.215642325999999;53.486141310000001;;;
8996.0;8997.0;2;1;1;102;2016;5;15;1;3;0;7;0.0;0;1;0;0;0;0.0;1;565664.514399999990000;5933603.012199999800000;9.991045389000000;53.547212365000000;;;
9011.0;9012.0;2;7;10;711;2016;5;17;7;3;5;3;0.0;0;1;0;0;0;0.0;1;563026.256999999980000;5925066.008800000000000;9.949516947999999;53.470810016999998;;;
9028.0;9029.0;2;1;4;111;2016;5;16;7;3;5;3;0.0;0;1;1;0;0;0.0;0;564184.767699999970000;5934036.799800000200000;9.968804815000000;53.551293907999998;;;
9034.0;9035.0;2;4;7;416;2016;8;15;6;3;3;6;0.0;0;1;1;0;0;0.0;0;567974.319999999950000;5934707.330000000100000;10.026140317999999;53.556843116000003;;;
9038.0;9039.0;2;1;1;102;2016;9;20;3;3;5;2;2.0;0;1;1;0;0;0.0;0;565382.422400000040000;5933651.758399999700000;9.986798786000000;53.547685659999999;;;
9041.0;9042.0;2;4;6;415;2016;12;17;4;3;5;2;2.0;1;1;1;0;0;0.0;0;568159.888000000040000;5936011.265399999900000;10.029225606000001;53.568537683999999;;;
9048.0;9049.0;2;1;3;106;2016;7;7;5;3;3;2;0.0;0;1;0;0;0;1.0;0;564503.139800000000000;5933864.525200000000000;9.973574024000000;53.549706606999997;;;
9051.0;9052.0;2;3;9;321;2016;5;13;6;3;5;2;0.0;0;1;1;0;0;0.0;0;561809.893700000020000;5937594.072200000300000;9.933667715000000;53.583549413000000;;;
9058.0;9059.0;2;1;14;133;2016;10;14;7;3;5;2;0.0;0;1;1;0;0;0.0;0;568329.815300000020000;5932571.743999999900000;10.031039323000000;53.537604143999999;;;
9079.0;9080.0;2;3;4;316;2016;6;7;4;3;4;6;0.0;0;1;0;0;0;0.0;0;564120.420900000030000;5937895.792700000100000;9.968625941000001;53.585983632999998;;;
9083.0;9084.0;2;3;9;321;2016;7;13;5;3;4;3;0.0;0;1;1;0;0;0.0;0;561959.935599999970000;5937097.016400000100000;9.935835158000000;53.579064492999997;;;
9085.0;9086.0;2;1;4;111;2016;10;20;1;3;4;2;2.0;0;1;1;0;0;0.0;0;563891.660200000040000;5934520.414699999600000;9.964480179000001;53.555676059000000;;;
9087.0;9088.0;2;3;9;321;2016;9;18;2;3;5;2;0.0;0;1;1;0;0;0.0;0;562139.197999999970000;5936752.947200000300000;9.938473826999999;53.575951015999998;;;
9088.0;9089.0;2;2;5;216;2016;9;8;2;3;5;2;0.0;1;1;1;0;0;0.0;0;560450.611900000020000;5935548.757199999900000;9.912742017999999;53.565325764999997;;;
9107.0;9108.0;2;4;2;403;2016;7;17;4;3;5;3;0.0;0;1;1;0;0;0.0;0;565065.472500000030000;5938345.516099999700000;9.982993730000001;53.589908979999997;;;
9109.0;9110.0;2;2;9;221;2016;11;18;4;2;5;2;2.0;1;1;1;0;0;0.0;0;556354.821600000020000;5936292.833800000100000;9.851041824999999;53.572469054000003;;;
9110.0;9111.0;2;2;5;215;2016;5;9;4;3;5;3;0.0;0;1;1;1;0;0.0;0;560911.497300000050000;5935407.526899999900000;9.919672395999999;53.564003175000003;;;
9112.0;9113.0;2;2;5;215;2016;12;17;3;3;3;2;2.0;0;1;1;0;0;0.0;0;561234.193600000000000;5935384.940800000000000;9.924539505000000;53.563762629999999;;;
9114.0;9115.0;2;3;4;316;2016;11;14;5;3;5;2;0.0;1;1;1;0;0;0.0;0;563820.089999999970000;5937206.586500000200000;9.963948796000000;53.579826187999998;;;
9120.0;9121.0;2;2;3;209;2016;6;8;3;3;5;3;0.0;0;1;1;0;0;0.0;0;562582.170000000040000;5935421.799999999800000;9.944896193000000;53.563934879000001;;;
9131.0;9132.0;2;4;3;406;2016;8;7;3;3;6;7;0.0;0;1;0;1;0;0.0;0;566471.154600000010000;5941318.175400000100000;10.004860844000000;53.616448333999998;;;
