,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,UIDENTSTLA,lat_short,long_short
8524,8525,2,1,3,106,2016,9,15,3,3,4,6,0,0,1,0,0,0,0.0,0,564546.253299999980000,5933852.224700000100000,9.974222112000000,53.549590760999997,,9.974,53.55
8525,8526,2,1,4,110,2016,9,23,7,3,1,5,2,0,1,1,0,0,0.0,0,563610.868600000050000,5934989.147599999800000,9.960337530000000,53.559922812000003,,9.96,53.56
8532,8533,2,4,4,407,2016,7,8,5,3,5,2,0,0,1,0,0,0,0.0,1,565619.996399999950000,5940295.655600000200000,9.991780424000000,53.607366114999998,,9.992,53.607
8533,8534,2,7,14,715,2016,7,19,4,3,6,7,0,0,1,0,1,0,0.0,0,555715.600300000050000,5925132.231499999800000,9.839404414000001,53.472229517999999,,9.839,53.472
8536,8537,2,2,9,221,2016,5,16,5,3,5,2,0,0,1,1,0,0,0.0,0,556047.743800000050000,5936334.063000000100000,9.846412450000001,53.572872500999999,,9.846,53.573
8543,8544,2,3,5,317,2016,6,16,7,3,5,3,0,0,1,1,0,0,0.0,0,563774.534100000050000,5939450.919800000300000,9.963719665999999,53.600002144999998,,9.964,53.6
8555,8556,2,2,5,215,2016,11,17,3,3,3,2,2,1,1,1,0,0,0.0,0,561329.674699999970000,5935377.343200000000000,9.925979420999999,53.563683197000003,,9.926,53.564
8556,8557,2,7,1,702,2016,6,8,5,3,5,3,0,0,1,1,0,0,0.0,0,565340.509100000020000,5924223.900200000000000,9.984201482000000,53.462959568000002,,9.984,53.463
8569,8570,2,2,12,225,2016,9,7,2,3,2,6,0,0,1,0,0,0,0.0,0,553875.620800000030000,5936848.470200000300000,9.813702321999999,53.577723380999998,,9.814,53.578
8570,8571,2,3,9,321,2016,9,7,2,3,5,2,1,1,1,1,0,0,0.0,0,562072.497600000000000,5936880.415000000000000,9.937491959000001,53.577104511000002,,9.937,53.577
